datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude ,newtime,month,day_month
1999-10-10 00:01:00,martinez,CA,us,changing,3600.0,1 hour,Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de,10/19/1999,38.0194444,-122.13305559999999,1999-10-10 00:00:00,10,10-10
1999-10-10 11:00:00,san diego,CA,us,fireball,3600.0,1 hour,At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.,10/19/1999,32.7152778,-117.1563889,1999-10-10 00:00:00,10,10-10
1999-10-10 20:35:00,hayward,CA,us,circle,90.0,60-90 sec,Many different colored glowing  objects,11/20/2001,37.6688889,-122.0797222,1999-10-10 00:00:00,10,10-10
2001-10-10 20:35:00,hayward,CA,us,circle,120.0,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT,11/20/2001,37.6688889,-122.0797222,2001-10-10 00:00:00,10,10-10
2001-10-10 21:30:00,fresno,CA,us,changing,900.0,15 min. apprx,Objects were sighted driving north on Highway 5 in California&#39s central valley after night fall&#44 not far past &quot;Kettleman/Fresno&quot; exit s,11/20/2001,36.7477778,-119.77138889999999,2001-10-10 00:00:00,10,10-10
2003-10-10 12:00:00,alhambra,CA,us,oval,300.0,5 min,3 Black ovals in the sky and a floating movie camera,1/17/2004,34.0952778,-118.1261111,2003-10-10 00:00:00,10,10-10
2004-10-10 15:00:00,berkeley,CA,us,unknown,180.0,3 minutes,While driving my car in the mid afternoon of a day in the fall of 2004 on HYW 580 East-bound I had just crossed the San Rafael / Richmo,5/24/2005,37.8716667,-122.27166670000001,2004-10-10 00:00:00,10,10-10
2005-10-10 14:45:00,los angeles,CA,us,egg,10.0,10 seconds,Egg UFO over Hollywood Hills and LAX in LOS ANGELES&#44 CA.,10/20/2005,34.0522222,-118.2427778,2005-10-10 00:00:00,10,10-10
2006-10-10 05:00:00,san francisco,CA,us,triangle,600.0,10 minutes,black triangles were seen flying across the surface of the full moon,10/30/2006,37.775,-122.41833329999999,2006-10-10 00:00:00,10,10-10
2007-10-10 06:00:00,indio,CA,us,oval,600.0,10 min.,Observed 2 white clouds of identical shape in clear blue shy with object becoming visible beneath one cloud.,6/9/2009,33.7205556,-116.21472220000001,2007-10-10 00:00:00,10,10-10
2008-10-10 10:22:00,fremont,CA,us,triangle,60.0,1 minute,I saw a brightly lightes v shaped ufo while driving through fremont&#44ca.,10/31/2008,37.5483333,-121.9875,2008-10-10 00:00:00,10,10-10
2008-10-10 22:00:00,san diego,CA,us,disk,30.0,30 seconds,low flying saucer in suburban area.  ((NUFORC Note:  Student report.  PD)),10/31/2008,32.7152778,-117.1563889,2008-10-10 00:00:00,10,10-10
2009-10-10 20:30:00,anaheim,CA,us,light,300.0,5 mins,UFO over Disneyland.,12/12/2009,33.8352778,-117.9136111,2009-10-10 00:00:00,10,10-10
2009-10-10 23:23:00,cupertino,CA,us,light,180.0,3 minutes,Bright red light object made random moves horizontally and floated for a while and then went up vertically.,12/12/2009,37.3230556,-122.0311111,2009-10-10 00:00:00,10,10-10
2010-10-10 22:30:00,garden grove,CA,us,egg,7200.0,2 hours,Blue Light in Garden Grove,11/21/2010,33.7738889,-117.94055559999998,2010-10-10 00:00:00,10,10-10
2012-10-10 18:56:00,san diego,CA,us,sphere,240.0,4 minutes,Single white light or craft passed over and very close to a commercial jet.  ((NUFORC Note:  Possibly the ISS?  PD)),10/30/2012,32.7152778,-117.1563889,2012-10-10 00:00:00,10,10-10
2012-10-10 20:30:00,san jose,CA,us,other,6.0,5-6 seconds,POSSIBLE ALIEN/HUMANOID SEEN RUNNING INTO HILLS,10/30/2012,37.3394444,-121.8938889,2012-10-10 00:00:00,10,10-10
2012-10-10 23:20:00,rancho mirage,CA,us,rectangle,5.0,5 seconds,Flying red object over Rancho Mirage&#44 ca,10/30/2012,33.7397222,-116.41194440000001,2012-10-10 00:00:00,10,10-10
1999-10-11 04:30:00,los angeles,CA,us,light,300.0,5min,It was a large bright light sitting stationary in the sky. Within our atmosphere. Not a star. It did not move or change shape and was t,10/19/1999,34.0522222,-118.2427778,1999-10-11 00:00:00,10,10-11
2000-10-11 22:00:00,elverta,CA,us,light,30.0,hours,White starlike lights in sky that blink red and blue and move erratically over Sacramento region.,12/2/2000,38.7138889,-121.46166670000001,2000-10-11 00:00:00,10,10-11
